25	7.305
26.8	6.44
30	5.203
35	3.831
40	2.897
40.8	2.777
45	2.242
50	1.772
55	1.43
60	1.174
65	0.9769
70	0.8213
75	0.6965
80	0.5955
85	0.5135
90	0.4465
95	0.3914
100	0.3454
105	0.3065
110	0.273
115	0.244
120	0.2186
125	0.1964
130	0.1771
132.3	0.1691
135	0.1603
140	0.1457
145	0.133
150	0.1219
151.4	0.119
155	0.1121
160	0.1032
165	0.09526
170	0.08798
175	0.08131
180	0.07519
185	0.06959
190	0.0645
195	0.05991
200	0.05577
205	0.05206
210	0.04873
215	0.04572
220	0.043
225	0.04049
230	0.03817
235	0.03599
240	0.03394
245	0.03199
250	0.03015
255	0.0284
260	0.02677
265	0.02525
270	0.02384
275	0.02255
280	0.02137
285	0.02029
290	0.01932
295	0.01842
300	0.0176
305	0.01683
310	0.0161
315	0.01541
320	0.01475
340	0.01228
360	0.01018
380	0.008602
400	0.007465
420	0.006526
440	0.005631
460	0.004812
480	0.004165
500	0.003704
520	0.003349
540	0.003007
560	0.002649
580	0.002314
600	0.00205
620	0.001866
640	0.00173
660	0.001596
680	0.001443
700	0.001281
720	0.001138
740	0.001034
760	0.0009666
780	0.0009169
800	0.000863
850	0.0006757
900	0.0005483
950	0.0004977
1000	0.0004038
1041	0.0003331
1050	0.0003241
1100	0.0003035
1150	0.0002681
1200	0.0002116
1250	0.0001896
1253.6	0.0001893
1300	0.0001854
1350	0.0001565
1400	0.0001245
1450	0.0001181
1486.6	0.0001197
1500	0.0001184
