15	54.7
16.7	34.96
20	16.45
21.2	12.87
25	6.662
25	6.699
26.9	5.123
30	3.474
35	2.12
40	1.44
40.8	1.364
45	1.066
50	0.8503
55	0.7146
60	0.6216
65	0.5527
70	0.499
75	0.4563
75	5.595
80	120.3
85	51.19
90	21.71
95	12.98
100	8.476
105	5.685
110	3.881
115	2.705
120	1.934
125	1.427
130	1.094
132.3	0.9823
135	0.8772
140	0.7399
145	0.6581
150	0.6153
150	1.107
151.4	1.119
155	1.134
160	1.135
165	1.145
170	1.164
175	1.189
180	1.217
185	1.246
190	1.276
195	1.304
200	1.33
200	1.544
205	1.574
210	1.6
215	1.622
220	1.64
225	1.655
230	1.665
235	1.673
240	1.677
245	1.679
250	1.679
255	1.677
260	1.674
265	1.669
270	1.663
275	1.657
280	1.649
285	1.64
290	1.63
295	1.618
300	1.606
305	1.592
310	1.578
315	1.562
320	1.546
325	1.53
330	1.514
335	1.498
340	1.481
345	1.465
350	1.449
355	1.432
360	1.416
365	1.4
370	1.383
375	1.366
380	1.349
385	1.332
390	1.316
395	1.299
400	1.282
405	1.266
410	1.25
415	1.234
420	1.219
425	1.203
430	1.188
435	1.173
440	1.157
445	1.142
460	1.096
480	1.038
500	0.984
520	0.9332
540	0.884
560	0.8381
580	0.7963
600	0.7579
620	0.7207
640	0.6844
660	0.6508
680	0.6199
695	0.5979
695	0.7168
700	3.696
705	19.51
710	7.02
715	5.27
720	4.745
725	4.41
730	4.123
735	3.879
740	3.684
745	3.532
750	3.417
755	3.326
760	3.253
765	3.189
770	3.131
775	3.076
780	3.023
785	2.971
790	2.919
795	2.87
800	2.824
805	2.779
810	2.738
815	2.698
820	2.661
825	2.626
830	2.592
835	2.559
840	2.527
845	2.496
850	2.465
855	2.435
860	2.404
865	2.374
870	2.345
875	2.315
880	2.286
885	2.257
890	2.229
895	2.202
900	2.175
905	2.149
910	2.122
915	2.097
920	2.071
925	2.047
930	2.022
935	1.998
940	1.974
945	1.952
950	1.928
950	2.33
955	2.308
960	2.286
965	2.264
970	2.241
975	2.219
980	2.197
985	2.174
990	2.153
1000	2.109
1041	1.94
1050	1.905
1050	1.984
1100	1.809
1150	1.647
1200	1.5
1250	1.371
1253.6	1.362
1300	1.255
1350	1.153
1400	1.062
1450	0.9793
1486.6	0.9245
1500	0.9057
