 Xe Density=3.64
 Energy(eV), Delta, Beta
  178.76973  0.00847801846  0.000834871607
  180.030411  0.00828118902  0.000829159049
  181.299957  0.00809498038  0.000823485549
  182.578476  0.00791267492  0.000818006869
  183.866013  0.00773819722  0.000814689498
  185.162613  0.007567049  0.000811385689
  186.468369  0.00740267616  0.000808557612
  187.783325  0.00724236201  0.000805865333
  189.107559  0.00708582299  0.000803184463
  190.441132  0.00693296781  0.000800515059
  191.784103  0.00678318134  0.000798863068
  193.136566  0.0066368538  0.000800812617
  194.498535  0.00649329694  0.000802766357
  195.870117  0.00635659136  0.000807949458
  197.251389  0.00622271793  0.000813390769
  198.64238  0.00609443802  0.000818867586
  200.043198  0.0059701507  0.000824380491
  201.453888  0.00584918866  0.000829930417
  202.874527  0.00573219592  0.000835517305
  204.305176  0.00561753567  0.000841152098
  205.745911  0.00550713018  0.000846935669
  207.196823  0.00539871212  0.000852758822
  208.657959  0.00529405754  0.000858688785
  210.129395  0.00519171311  0.000864676607
  211.611206  0.00509227114  0.000870700867
  213.103485  0.00499557657  0.000876762148
  214.606262  0.004901045  0.000882867374
  216.119659  0.0048096315  0.000889020041
  217.643707  0.00471981615  0.000895215722
  219.178513  0.0046337191  0.000901455292
  220.724152  0.00454921043  0.000907738344
  222.28067  0.0044673048  0.000913520227
  223.848175  0.00438735588  0.000919068349
  225.426743  0.00430925889  0.00092462782
  227.016434  0.00423326064  0.000930181879
  228.61734  0.00415871013  0.000935769058
  230.229523  0.00408684276  0.000941389124
  231.853073  0.00401617074  0.000947043183
  233.488083  0.00394806312  0.000952730014
  235.134628  0.00388137437  0.000958450662
  236.792786  0.00381677086  0.000964208331
  238.462616  0.00375406072  0.000970002729
  240.144257  0.0036932854  0.000975829898
  241.837723  0.0036361753  0.000981686753
  243.543152  0.00357993878  0.000987578649
  245.26059  0.00352698518  0.000990589731
  246.990143  0.00347488653  0.000993518741
  248.731903  0.00342340907  0.000994861824
  250.485931  0.00337262684  0.000995478476
  252.252335  0.00332269398  0.000996093266
  254.031204  0.00327364332  0.00099670596
  255.822601  0.00322542596  0.000997319235
  257.626648  0.00317872572  0.000997935422
  259.44342  0.00313270022  0.00099855219
  261.27298  0.00308834808  0.000999168493
  263.115479  0.0030448169  0.000999786076
  264.970917  0.00300372485  0.0010004018
  266.839478  0.00296463724  0.00100101833
  268.721222  0.00292662531  0.00100073125
  270.616211  0.00289061386  0.00099800725
  272.524567  0.00285503757  0.000995290815
  274.446411  0.00281882053  0.000989788095
  276.381775  0.00278304517  0.000984280137
  278.33078  0.00274724746  0.000978801865
  280.293549  0.00271171075  0.00097335357
  282.270172  0.0026766893  0.000967936125
  284.260712  0.00264219684  0.000962549879
  286.265289  0.0026082173  0.000957193377
  288.284027  0.00257510995  0.000951865688
  290.316986  0.00254241913  0.000946567685
  292.364258  0.00251094112  0.000941300532
  294.425995  0.00247998117  0.000936062948
  296.502258  0.0024508955  0.000930853828
  298.59317  0.00242324942  0.000925673347
  300.698822  0.00239592511  0.000919038197
  302.819336  0.00236895937  0.000908809772
  304.954773  0.00234227139  0.000898692466
  307.105286  0.00231410423  0.000888101524
  309.270966  0.00228626654  0.000877635379
  311.451935  0.00225795782  0.000867293158
  313.648285  0.00222968962  0.000857073464
  315.860107  0.0022015539  0.000846973737
  318.087524  0.00217349455  0.000836992578
  320.330658  0.00214573648  0.000827129115
  322.589569  0.00211804407  0.000817382301
  324.864471  0.00209070579  0.000807750155
  327.155365  0.00206349627  0.000798231864
  329.462433  0.00203660689  0.000788825797
  331.785797  0.00200995291  0.000779530208
  334.125549  0.00198356784  0.0007703437
  336.48175  0.00195748359  0.000761265925
  338.854584  0.00193164055  0.000752295542
  341.244171  0.00190613465  0.000743430573
  343.650604  0.00188085134  0.000734669855
  346.074005  0.00185590272  0.000726012513
  348.514465  0.00183122011  0.000717456976
