 Xe Density=3.64
 Energy(eV), Delta, Beta
  75.8519821 -0.020000631  0.0234901588
  76.3868866 -0.0200547632  0.0246404894
  76.92556 -0.0200733263  0.0257775113
  77.4680328 -0.0200355444  0.0268403087
  78.014328 -0.0199756622  0.0279469229
  78.564476 -0.0196984317  0.0290991291
  79.118515 -0.0194250457  0.0302988347
  79.6764526 -0.0190415457  0.0312804915
  80.2383194 -0.0186364967  0.0322243273
  80.8041534 -0.0182350334  0.0331608579
  81.3739777 -0.0178374108  0.0340899117
  81.9478226 -0.017422799  0.0350449719
  82.5257111 -0.016935898  0.0360267572
  83.1076736 -0.0164591949  0.0370360538
  83.6937408 -0.0155527992  0.0379973203
  84.2839508 -0.014644756  0.0389792435
  84.8783112 -0.0137369921  0.0396862365
  85.4768677 -0.0128407059  0.0402528085
  86.0796432 -0.0119975768  0.0408273824
  86.6866608 -0.0112246741  0.0414100364
  87.2979736 -0.010460915  0.042001158
  87.9135895 -0.00962582603  0.0426006392
  88.5335541 -0.00881200749  0.0432086587
  89.1578827 -0.00774116023  0.0438254289
  89.7866211 -0.0066363276  0.0444510058
  90.4197845 -0.00550013408  0.0448786356
  91.0574188 -0.00434168382  0.0451273248
  91.6995468 -0.00322270137  0.0453628786
  92.3462067 -0.00215855218  0.0455556065
  92.9974213 -0.00112347805  0.0457491502
  93.6532364 -1.38051319E-05  0.0459435172
  94.3136673  0.00106876378  0.0461387411
  94.9787598  0.00235574786  0.0462220237
  95.6485367  0.00371443084  0.0462529138
  96.3230438  0.00501312735  0.0461313725
  97.0023117  0.00624273578  0.0457818545
  97.6863632  0.00742104929  0.0454350039
  98.3752365  0.00844444614  0.0450907126
  99.0689697  0.00943783112  0.0447490327
  99.7675934  0.0104466239  0.0444099903
  100.471153  0.0114343176  0.044073537
  101.179672  0.0124973217  0.0436768942
  101.893181  0.0136132212  0.0432328321
  102.611717  0.0146822743  0.042729307
  103.335327  0.0156827588  0.0420577861
  104.064041  0.0166524574  0.0413968228
  104.79789  0.0175142456  0.0407462306
  105.536919  0.0183473509  0.0401058495
  106.281158  0.0192523152  0.0394755565
  107.030647  0.0201701727  0.0388551578
  107.785416  0.0210519079  0.0380995497
  108.545509  0.0218957402  0.0371597745
  109.310959  0.0226954836  0.036236465
  110.08181  0.0233627744  0.0352932252
  110.858101  0.0240070205  0.0343745314
  111.639862  0.024811428  0.0334798247
  112.427139  0.0256204847  0.0326084197
  113.219971  0.0263060704  0.0314321108
  114.018387  0.0268951077  0.0300589949
  114.822433  0.027365407  0.0287434366
  115.632156  0.0275750179  0.0274796113
  116.447586  0.0277734529  0.0262713581
  117.268761  0.0278420672  0.0251158159
  118.095734  0.0279033221  0.0240110531
  118.928535  0.0279405862  0.0229550507
  119.767204  0.0279648229  0.0219455454
  120.611786  0.0280061271  0.0209325515
  121.462341  0.0280708075  0.0199066009
  122.318886  0.0280945357  0.0188861378
  123.181458  0.0279240943  0.0176788215
  124.050133  0.0277529322  0.0165486783
  124.924919  0.0274172071  0.0154910861
  125.805885  0.0270606782  0.0145011246
  126.693047  0.0266559087  0.0135741401
  127.586487  0.0262198839  0.0127062127
  128.486206  0.025773257  0.0118938787
  129.392273  0.0252936464  0.0111336792
  130.304749  0.024821775  0.0104220659
  131.223648  0.0243231989  0.00975605194
  132.149033  0.0238337014  0.00913259853
  133.080933  0.0233346019  0.00854880176
  134.019409  0.022838138  0.00800226349
  134.964508  0.0223442316  0.00749070384
  135.91626  0.0218515433  0.00701189693
  136.874725  0.0213662144  0.00656368537
  137.839966  0.0208801311  0.00614406774
  138.811996  0.0204034839  0.00575131876
  139.790878  0.0199331809  0.00538821844
  140.776672  0.0194716584  0.00504860142
  141.769424  0.0190188345  0.00473078992
  142.76918  0.018574683  0.0044332589
  143.77597  0.0181397032  0.0041544172
  144.789856  0.0177142527  0.00389306713
  145.810913  0.0172971804  0.00364815816
  146.839157  0.0168894604  0.00341868727
  147.874664  0.0164897479  0.00320365024
  148.917465  0.0160999633  0.00300212763
  149.967621  0.0157185197  0.00281327777
  151.025177  0.0153466547  0.00263584126
  152.090195  0.0149844289  0.00246909703
  153.16272  0.0146290511  0.00231162808
  154.242813  0.0142794866  0.00215895195
  155.330521  0.0139368288  0.00201635924
  156.425888  0.0135977529  0.00188314845
  157.528992  0.013265077  0.00175873388
  158.639877  0.012935861  0.00164648518
  159.758591  0.0126113119  0.00154369336
  160.885193  0.0122955125  0.00145145261
  162.019745  0.0119903972  0.00137247646
  163.162292  0.011691764  0.00129779859
  164.312897  0.0114056617  0.00122720574
  165.471619  0.0111252666  0.00116045284
  166.638519  0.0108451797  0.00110083504
  167.813644  0.0105691766  0.00104529248
  168.997055  0.0103043066  0.00100347947
  170.188797  0.0100505808  0.000974603405
  171.388962  0.00980412681  0.000946559012
  172.59758  0.00957117043  0.000919325685
  173.814728  0.00934280641  0.000892875891
  175.040451  0.00911652949  0.000871763332
  176.274826  0.00889453571  0.000851550372
  177.517883  0.0086825937  0.000840623106
